datetime,meigaraCD,name,price
2023-07-03 13:23:30.870229,8918,ランド,9.0
2023-07-03 13:23:32.219270,7203,トヨタ自動車,2308.5
2023-07-03 13:23:33.238590,4689,Ｚホールディングス,346.4
2023-07-03 13:23:34.465167,8306,三菱ＵＦＪフィナンシャル・グループ,1065.0
2023-07-03 13:23:35.062262,8001,伊藤忠商事,5687.0
2023-07-13 13:46:34.901550,1357,ＮＥＸＴ ＦＵＮＤＳ 日経平均ダブルインバース・インデックス連動型上場投信,244.0
2023-07-13 13:46:35.999889,9501,東京電力ホールディングス,510.1
2023-07-13 13:46:36.543571,8918,ランド,8.0
2023-07-13 13:46:37.845981,7203,トヨタ自動車,2198.0
2023-07-13 13:46:38.755967,4689,Ｚホールディングス,387.7
2023-07-13 13:46:40.245323,8306,三菱ＵＦＪフィナンシャル・グループ,1069.5
2023-07-13 13:46:40.882610,8001,伊藤忠商事,5377.0
2023-07-13 13:46:49.703896,1357,ＮＥＸＴ ＦＵＮＤＳ 日経平均ダブルインバース・インデックス連動型上場投信,244.0
2023-07-13 13:46:50.646709,9501,東京電力ホールディングス,510.1
2023-07-13 13:46:51.175479,8918,ランド,8.0
2023-07-13 13:46:52.998080,7203,トヨタ自動車,2198.0
2023-07-13 13:46:54.260984,4689,Ｚホールディングス,387.7
2023-07-13 13:46:55.455087,8306,三菱ＵＦＪフィナンシャル・グループ,1069.5
2023-07-13 13:46:56.055823,8001,伊藤忠商事,5377.0
